time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
179.572,0.01023066,-0.9117873,-0.09501533,-0.1597428,-0.01088257,0.0571882,0.2112679,0.07531817,0.3433361,352.3248,0.08285139,359.8997,-0.09472917,-1.350004,-0.2781506,-1.044035,1.393339,-1.764834,0.01240135,-0.5002877,0.4738048,31.17889,354.6053,29.9181,0.02228859,-0.145676,-0.5841371,1.844392,-0.6798608,1.946696,0.3641742,-0.2131749,0.4888287,344.3387,0.6870487,335.0117,
193.431,0.01903853,-0.9496032,-0.07281177,-0.02390035,-0.004305007,0.01718122,0.2120088,0.06165199,0.3427751,352.1484,0.07436199,359.9391,-0.2393143,-1.210515,-0.2151648,-1.386935,2.036379,-0.5881991,0.008888665,-0.5119354,0.4733309,30.95706,350.5162,29.43609,0.05188012,-0.1968984,-0.5945882,1.839519,-1.284581,1.567246,0.3647282,-0.2186038,0.4821333,342.1755,2.115906,334.8694,
207.377,0.02846651,-0.9681323,-0.06139115,0.01259549,-0.008481958,0.06845471,0.2127049,0.0480002,0.342375,352.1366,0.1550763,359.7254,-0.2568054,-1.009573,-0.1176275,-1.119724,2.320069,-0.4875889,0.007624585,-0.5189734,0.4746864,30.52924,349.1328,30.85263,0.0994461,-0.2415764,-0.568109,1.434522,-2.086307,1.169683,0.3648657,-0.22419,0.4759338,340.6126,4.635564,335.3654,
221.302,0.03921622,-0.9673431,-0.04040669,-0.1735421,-0.01277621,0.2018978,0.2134346,0.03555171,0.342757,352.7658,0.2766263,359.3015,-0.178362,-0.7311549,-0.01657081,0.1590281,2.585403,-0.68049,0.007703794,-0.5218998,0.4756936,28.02979,350.2454,33.79599,0.114092,-0.2802303,-0.5270065,1.070877,-2.22638,0.9315195,0.3651421,-0.2295043,0.4705549,339.6456,6.420593,335.613,
235.232,0.04649716,-0.9324379,-0.02369513,-0.5780258,-0.02625658,0.2979155,0.214094,0.02528663,0.3423462,354.0609,0.423263,358.9559,-0.1004053,-0.3937401,0.06610894,1.509697,3.013087,-0.5698178,0.00774635,-0.5214299,0.4777816,23.76452,351.2603,36.45799,0.09874162,-0.2818481,-0.4829408,1.17052,-1.771553,0.8021311,0.3657374,-0.2339619,0.4651758,338.433,6.895914,335.2999,
249.008,0.05168238,-0.8404552,-0.02492098,-0.9768375,-0.04998333,0.3581984,0.2150003,0.01900832,0.3410784,355.4725,0.5759409,358.6366,-0.09103631,-0.1149614,0.1201805,1.537141,3.20322,-0.01950677,0.00820021,-0.5177417,0.4805007,20.80506,349.9244,37.22775,0.0691563,-0.241641,-0.4559557,1.84647,-1.032955,0.8274041,0.3667972,-0.2382427,0.4614426,336.2233,6.249702,334.1264,
263.145,0.0592589,-0.6700108,-0.03021693,-1.043369,-0.05024251,0.4476842,0.2161722,0.01757272,0.3410626,356.0876,0.726109,358.1346,-0.03168119,0.108766,0.1878294,1.304224,2.616184,0.04519515,0.01048302,-0.5106365,0.4850365,19.65952,349.6208,37.72267,0.06202272,-0.1958942,-0.3990914,2.182871,-0.6763317,0.7701133,0.3684353,-0.2415049,0.4602737,334.1046,5.768943,333.2507,
277.012,0.06944524,-0.4215082,-0.01051531,-0.7021791,-0.08256224,0.5291024,0.2175039,0.02097939,0.342497,355.7852,0.968549,357.6116,0.05913189,0.3594635,0.2646387,1.319956,1.406595,0.5847054,0.01371335,-0.4982672,0.4907504,18.71631,350.1215,36.26777,0.08563599,-0.1591387,-0.26572,1.636799,-0.7430866,0.578968,0.3698145,-0.2430599,0.4622437,333.4216,6.228031,333.3163,
290.82,0.08446894,-0.1354362,0.02539631,-0.2841142,-0.1697088,0.3965896,0.2191654,0.0273364,0.3442431,355.3156,1.261333,357.7249,0.1510473,0.6850718,0.3219487,1.705404,0.2658626,1.668225,0.01743712,-0.4795723,0.4953112,16.63204,350.9152,32.99782,0.1140685,-0.1499227,-0.02883011,-0.05841084,-0.7191955,0.3108002,0.3707128,-0.2428209,0.4684989,335.7494,7.341206,334.2739,
304.842,0.1009191,0.1332803,0.06196069,-0.1203752,-0.2365425,0.1070237,0.221045,0.03536113,0.3460489,355.3803,1.432008,358.2408,0.2256727,1.038904,0.3333474,2.247422,-0.3504013,2.426805,0.02070755,-0.457116,0.4987963,13.82123,352.0925,29.98579,0.1057031,-0.1712458,0.1574091,-1.658091,-0.3253386,-0.06299172,0.3709494,-0.2426869,0.4744841,339.5185,7.696154,335.7481,
