time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
165.22,0.0239328,-0.001023203,0.02285966,-0.01376776,0.02145324,0.1009837,0.1580768,0.01832765,0.008841038,358.4833,358.1091,358.9916,0.2206594,-0.03156423,-0.01271164,-0.02655273,-0.1593948,-0.288189,0.0597854,-0.3711219,0.4149584,0.3022157,351.1937,19.50344,-0.4309954,-0.3073328,-0.1503564,-0.8681735,0.1794104,1.253233,0.2131312,-0.3633542,0.4353084,21.55198,349.1023,342.7335,
179.192,0.02411233,-0.001152108,0.02136067,-0.01879906,0.004728133,0.1054547,0.1584084,0.01824322,0.009071469,358.4975,358.1342,358.8904,0.2186622,-0.04853579,-0.01163701,-0.0860054,-0.2690723,-0.3138125,0.06243416,-0.3717018,0.4147674,0.6837382,351.5131,19.71377,-0.4206234,-0.2995723,-0.1411835,-0.7011976,0.2791392,0.8292395,0.2079338,-0.3668058,0.4339696,21.93452,348.8387,342.8259,
193.104,0.02424543,-0.003326898,0.01927272,-0.0342227,-0.008320875,0.09498174,0.1587474,0.01812661,0.009265661,358.563,358.1647,358.8511,0.2116623,-0.05217265,-0.01756533,-0.0036787,-0.3017412,-0.3744446,0.06481763,-0.3723339,0.4138882,0.7767479,351.8347,20.11879,-0.3977709,-0.2871014,-0.1318183,-0.513334,0.3005161,0.4082516,0.2030681,-0.3697041,0.4324193,22.19648,348.97,343.3555,
207.111,0.02480191,-0.005662448,0.01693008,-0.05262703,-0.007880153,0.07305075,0.1591418,0.01806077,0.009432793,358.6379,358.1611,358.8316,0.2072271,-0.06097669,-0.01836272,0.04484605,-0.3699564,-0.398042,0.06719165,-0.3735929,0.4140268,0.8920439,352.2678,20.49162,-0.371338,-0.2724952,-0.1264328,-0.5653582,0.2465973,0.3439559,0.199125,-0.3726849,0.4308353,22.69069,348.8085,343.0658,
220.937,0.02508577,-0.00527326,0.01556193,-0.05037527,-0.002043434,0.06127089,0.1594689,0.01814497,0.00968051,358.6483,358.1527,358.7891,0.1983301,-0.06927487,-0.0152482,-0.01440797,-0.3306266,-0.2570296,0.06953969,-0.3745578,0.4138906,1.048539,352.4147,20.41016,-0.3535859,-0.256845,-0.1275283,-0.6753399,0.1563553,0.5637951,0.195376,-0.375352,0.4291715,23.13329,348.2424,341.9777,
235.06,0.02505689,-0.001875756,0.01546825,-0.01421654,0.008288459,0.05434575,0.1598272,0.01825804,0.009931326,358.5678,358.123,358.7571,0.1903832,-0.07465437,-0.01172714,-0.0983889,-0.3121408,-0.001482059,0.07188561,-0.3753738,0.4136261,1.201235,352.5425,19.88286,-0.342327,-0.2329827,-0.1344118,-0.7692756,0.1241435,0.9616735,0.1919187,-0.3777234,0.4274967,23.43634,347.0855,340.2358,
249.151,0.02480251,0.002111384,0.01563955,0.02904711,0.01257218,0.06216058,0.1601961,0.01836041,0.01016474,358.4672,358.1092,358.6894,0.1840189,-0.06808934,-0.01104615,-0.09485129,-0.3622743,0.1310321,0.07373943,-0.3755217,0.41346,1.303594,352.8745,19.48954,-0.3227211,-0.1995146,-0.1316313,-0.6285535,0.1689682,1.021714,0.1888739,-0.3798072,0.4263735,23.45172,346.1688,339.2643,
262.927,0.02501432,0.004431543,0.01430757,0.0450444,0.01366767,0.07526511,0.1605895,0.01836917,0.01028872,358.4245,358.103,358.6064,0.1691526,-0.04352339,-0.01067922,0.07407061,-0.4372393,0.05899107,0.07480851,-0.3754214,0.4133508,1.159908,353.4501,19.61688,-0.2850045,-0.1815054,-0.1154877,-0.414039,0.1710899,0.677192,0.1864057,-0.3818229,0.425583,23.47658,346.1016,339.3866,
277.023,0.0255472,0.002829381,0.01215357,0.0352922,0.005353516,0.07364847,0.1609514,0.01825282,0.01037884,358.4366,358.1256,358.5652,0.140619,-0.01491171,-0.005611029,0.2281769,-0.3862286,0.01865634,0.07529214,-0.3750875,0.4136648,0.8358945,353.823,19.76867,-0.2232987,-0.1742208,-0.08829385,-0.2853567,0.09551049,0.1646696,0.1848336,-0.3837627,0.4251973,23.67909,346.7939,340.1347,
290.975,0.02642927,-0.0002475686,0.009114975,-0.005935751,0.0006168123,0.05424777,0.1613553,0.01817474,0.01040852,358.5185,358.1302,358.5523,0.1050773,0.009415735,0.008485779,0.2480489,-0.3100253,0.1589772,0.07549796,-0.3745203,0.4142922,0.567594,354.0096,19.4667,-0.1638841,-0.1707508,-0.06541943,-0.3539472,0.02224969,-0.07093265,0.1840627,-0.3853479,0.4247947,24.12923,347.3346,340.4077,
304.782,0.02675352,-0.002925345,0.007115813,-0.03083777,-0.006420149,0.04275362,0.1617403,0.01808292,0.01046658,358.5739,358.1578,358.5353,0.06689491,0.03589276,0.02642346,0.2039851,-0.2675613,0.430523,0.07498159,-0.3730896,0.4151573,0.3596797,354.1756,18.67629,-0.1233199,-0.1568209,-0.05530485,-0.4762522,0.03015329,0.1603936,0.184107,-0.3866694,0.4243522,24.52924,346.9064,339.6376,
318.797,0.02646444,-0.005004544,0.005848671,-0.04328056,-0.02187007,0.04333568,0.1621163,0.01801005,0.01056004,358.6117,358.206,358.4874,0.02904667,0.07432817,0.03934811,0.2398395,-0.3153556,0.6607416,0.07370391,-0.3707363,0.4158429,0.05060434,354.5855,17.78621,-0.07623829,-0.1212185,-0.05122069,-0.3817101,0.1173603,0.3680046,0.1852375,-0.3872687,0.4238716,24.56492,346.1647,338.9979,
332.69,0.02568902,-0.005040782,0.005862313,-0.04252743,-0.04627575,0.04748996,0.1624534,0.01802763,0.01069593,358.6344,358.2947,358.4417,-0.009612272,0.1333915,0.04578017,0.4182757,-0.4203727,0.8900059,0.07148821,-0.3673756,0.4165891,359.4184,355.3131,16.78802,-0.01723508,-0.07793907,-0.04318033,-0.004871378,0.2370725,0.235108,0.1873813,-0.3873921,0.423644,24.17488,345.8667,339.4599,
346.707,0.02464697,-0.003728891,0.006515497,-0.03626779,-0.07277153,0.03609497,0.1627376,0.0179919,0.01083803,358.6414,358.3964,358.4506,-0.05633828,0.2068144,0.05376411,0.6924968,-0.4489386,1.163931,0.06824568,-0.3632008,0.4178315,358.3507,356.0976,15.54986,0.07359772,-0.03794902,-0.0221262,0.3783809,0.1853056,-0.09330044,0.1912942,-0.3873417,0.4239765,23.5394,346.299,340.5393,
360.561,0.02340429,-0.003300446,0.006876225,-0.03808226,-0.08668412,0.01176168,0.1630266,0.01787341,0.0109216,358.6832,358.4702,358.4816,-0.1246707,0.2771114,0.07154821,0.8562686,-0.3148494,1.484262,0.06353021,-0.3582487,0.4198131,357.1897,356.5354,13.93872,0.1852634,-0.02092396,0.007895116,0.4298164,-0.02110557,-0.3295841,0.1969371,-0.3877448,0.4248941,23.18394,347.094,341.2464,
374.559,0.02165431,-0.005170223,0.006527386,-0.0474447,-0.08592822,-0.003996768,0.1632426,0.01761356,0.01101148,358.7444,358.5376,358.5129,-0.2223755,0.3331322,0.1030846,0.7670992,0.03596412,1.778198,0.05747953,-0.3528561,0.422499,356.3057,356.2322,12.06983,0.3026516,-0.02575903,0.03832116,0.1552729,-0.2835662,-0.3667217,0.2041809,-0.3883377,0.4262307,23.31277,347.9042,341.1956,
388.477,0.01905076,-0.007803481,0.005658698,-0.08077024,-0.08644877,-0.00227742,0.163394,0.01745784,0.01103759,358.8845,358.6185,358.4898,-0.3131671,0.3834924,0.1394214,0.6173099,0.2186971,1.974173,0.05059807,-0.3460869,0.4253011,355.7291,356.0183,10.16114,0.4157544,-0.02894072,0.0611645,-0.115298,-0.5406246,-0.2661623,0.212736,-0.3887093,0.4274255,23.48403,348.6211,340.6789,
402.24,0.01646492,-0.009221144,0.005039053,-0.1050446,-0.0887893,-0.007192587,0.1636541,0.01736099,0.01112604,359.0013,358.6911,358.5059,-0.3963856,0.475453,0.1646362,0.7561437,0.2127494,2.13087,0.04223148,-0.3369791,0.4280279,354.6989,356.3368,8.288305,0.5239574,-0.01949545,0.07494119,-0.1719064,-0.7621314,-0.2212829,0.2224525,-0.388806,0.4284408,23.33446,349.4476,340.3219,
416.264,0.01396285,-0.008388713,0.004283756,-0.1081353,-0.08651402,-0.007446002,0.1637783,0.01725268,0.01116645,359.0751,358.7501,358.5064,-0.465734,0.5902062,0.1667747,1.119331,0.2016139,2.208306,0.03300624,-0.3264316,0.4303885,353.0552,356.8703,6.529713,0.6272753,-0.007197406,0.08148459,-0.1187421,-0.9381654,-0.2769377,0.233263,-0.388858,0.4293272,22.9947,350.4781,340.2596,
430.232,0.01166383,-0.006319515,0.003409475,-0.09005543,-0.07474796,-0.01391764,0.1638753,0.01721153,0.01119018,359.1001,358.7853,358.5288,-0.5566352,0.7103119,0.1646387,1.456657,0.4164305,2.07902,0.02227437,-0.3150645,0.433117,351.11,356.867,5.197363,0.7302467,-0.0004439959,0.0842412,-0.08443364,-1.145958,-0.4122474,0.2452634,-0.3890891,0.4302679,22.61051,351.8634,340.371,
443.89,0.008803171,-0.003877555,0.002684688,-0.06298442,-0.0570506,-0.02317231,0.1639175,0.0172289,0.01121795,359.1013,358.7889,358.5699,-0.6638141,0.8045378,0.1734537,1.51119,0.8620657,1.911111,0.01070217,-0.3030216,0.436375,349.473,356.0222,3.955761,0.832496,-0.0006770454,0.08453977,-0.1198747,-1.419799,-0.5656524,0.2582543,-0.3894683,0.4310335,22.23829,353.6423,340.4895,
457.988,0.00531034,-0.001716609,0.002868232,-0.02899166,-0.04535023,-0.01368231,0.1638911,0.01727977,0.01128292,359.0703,358.8084,358.5469,-0.7573015,0.8795551,0.1863061,1.436217,1.298797,1.840388,-0.001145206,-0.2901808,0.4394592,348.0725,354.8455,2.526316,0.9211712,-0.01076625,0.07667592,-0.2456829,-1.625086,-0.6286258,0.2719358,-0.3902718,0.4314799,22.04161,355.4315,340.4307,
471.946,0.00232264,0.001377024,0.002982872,0.00311916,-0.03261437,-0.006497745,0.1638362,0.01739269,0.01134646,359.0055,358.8326,358.5512,-0.8212883,0.9509059,0.1848312,1.429941,1.624309,1.987746,-0.01328056,-0.2762467,0.4420545,346.5338,353.84,0.559401,0.9924397,-0.02930109,0.05735916,-0.3797179,-1.682686,-0.6434208,0.2862428,-0.3914091,0.4313903,22.02278,357.0434,340.3629,
485.754,-0.0006714583,0.003578349,0.003903914,0.0298669,-0.03489883,-0.009061237,0.1637273,0.01749972,0.01143181,358.9494,358.86,358.5726,-0.8669694,1.021181,0.1676249,1.485729,1.808127,2.143662,-0.02599537,-0.2613727,0.4440148,344.8381,353.0716,358.4348,1.059481,-0.05147238,0.02555355,-0.4365763,-1.640817,-0.7239726,0.301455,-0.3928266,0.4306404,21.98993,358.6083,340.5711,
499.823,-0.003784093,0.004990094,0.004103842,0.03140309,-0.03464817,-0.0324798,0.1635685,0.01760924,0.01149821,358.941,358.8754,358.6571,-0.9006974,1.093244,0.1369466,1.615455,1.863083,2.195616,-0.03912203,-0.2456517,0.445363,342.9536,352.4962,356.5172,1.113992,-0.07066865,-0.007541984,-0.4518341,-1.597981,-0.8776408,0.3168919,-0.3944442,0.4294378,21.87663,0.3126221,341.0795,
513.859,-0.006596366,0.003309215,0.004049662,0.01981449,-0.02664092,-0.06326463,0.1633942,0.01760644,0.01155853,358.9661,358.8811,358.7616,-0.9273351,1.161597,0.09649727,1.720232,1.93688,2.24677,-0.05232551,-0.2292736,0.4459175,341.008,351.9196,354.5295,1.164275,-0.09955192,-0.04652527,-0.5939762,-1.574333,-0.9627873,0.3328783,-0.396565,0.4277135,22.02266,2.098045,341.5373,
527.768,-0.009405853,0.002977875,0.005792423,0.003528699,-0.01389964,-0.08478644,0.1631832,0.01762846,0.01169443,359.0033,358.8694,358.8542,-0.9484771,1.22004,0.05229476,1.790555,2.037286,2.249305,-0.06567784,-0.2122609,0.4461008,339.0923,351.2551,352.5603,1.203155,-0.1247475,-0.08249781,-0.7506502,-1.561164,-1.006525,0.348966,-0.3987786,0.4257139,22.28347,3.932724,341.9913,
541.643,-0.01291762,0.007051241,0.01030878,0.03473406,-0.004468356,-0.08307169,0.1629055,0.01782554,0.01197505,358.8739,358.847,358.9069,-0.9609476,1.266525,0.01146036,1.779996,2.183046,2.263459,-0.07882266,-0.1949543,0.4457642,337.3188,350.5223,350.4352,1.248851,-0.1462268,-0.1288435,-0.8741184,-1.538506,-1.141232,0.365885,-0.4010469,0.4227781,22.50958,5.96054,342.7676,
555.66,-0.01632883,0.01063366,0.01642897,0.08918308,0.002850343,-0.06287591,0.162473,0.01806933,0.01261854,358.7034,358.838,358.9117,-0.9633624,1.311331,-0.03462136,1.748808,2.433705,2.351255,-0.09171899,-0.1768652,0.4446461,335.5966,349.7098,347.9336,1.282492,-0.1532298,-0.1731302,-0.8875706,-1.574334,-1.212881,0.3828555,-0.4031954,0.4191435,22.48288,7.976873,343.4616,
569.744,-0.01863861,0.01008458,0.02080429,0.09314528,0.006315171,-0.05630954,0.1621673,0.01804602,0.01301599,358.6698,358.8293,358.9603,-0.9451008,1.343017,-0.07508966,1.744211,2.589082,2.535039,-0.1038317,-0.1588236,0.4429135,333.7717,349.2773,345.0432,1.309181,-0.1529875,-0.2235649,-0.8201106,-1.698136,-1.146475,0.4001078,-0.4054299,0.4146187,22.25934,9.889733,343.7393,
