time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
179.469,-0.2388483,-0.01296588,-0.1074061,0.3801109,2.490284,-0.5003849,0.2419789,0.02858639,-0.1012094,351.6013,329.3676,359.1598,-0.1154224,0.01943453,-0.05455988,-0.6968483,1.223154,1.921469,0.1494034,-0.577355,-0.1509528,41.74041,354.2219,14.39791,-0.3907852,-0.07111908,0.1031344,-0.9298189,1.740565,1.280582,0.3969022,-0.5516825,-0.0158124,42.95034,331.0972,6.141543,
193.422,-0.2387049,-0.01787402,-0.1158881,0.3488064,2.496126,-0.512718,0.238615,0.02852505,-0.1030544,351.7963,327.3113,359.2789,-0.112531,0.01803444,-0.05956802,-0.8641768,0.9804696,1.911922,0.1504423,-0.5776716,-0.1561035,42.02647,351.8001,13.01772,-0.3834472,-0.06571534,0.09416391,-0.9894041,1.538204,1.267092,0.3930605,-0.5524765,-0.01402271,42.82272,329.218,5.666257,
207.256,-0.239603,-0.01720187,-0.1226434,0.3679186,2.501159,-0.5034888,0.2352197,0.02850068,-0.1049542,351.8711,325.2215,359.4851,-0.09584858,0.01835392,-0.05163535,-0.7367949,0.814838,1.660877,0.1515947,-0.5780204,-0.1611602,41.96053,350.4839,12.37613,-0.3856338,-0.07206283,0.07826666,-1.117121,1.479008,1.209647,0.388579,-0.554228,-0.01250271,42.90447,327.1755,5.185637,
221.304,-0.2408517,-0.01584938,-0.1290516,0.4358458,2.515654,-0.479781,0.2318223,0.02813432,-0.1069255,351.8699,323.0762,359.8062,-0.1702298,0.07497445,-0.3646237,-0.3843537,0.7897295,1.57565,0.07343496,-0.5275663,-0.1699685,41.55496,350.2014,12.6675,-0.3814667,-0.09018244,0.06201378,-1.238233,1.457679,1.019364,0.3842528,-0.5555235,-0.01106744,43.34728,325.3115,4.833192,
235.193,-0.2414795,-0.01724487,-0.1367497,0.4948753,2.542008,-0.4682914,0.2285445,0.02765059,-0.1091321,351.9561,320.8816,0.1367261,-0.1552033,0.09641026,-0.3535262,-0.1551166,0.818149,1.609691,0.07275537,-0.5267387,-0.1750222,40.58671,348.6841,12.14133,-0.3794761,-0.08733233,0.0515807,-1.256404,1.333586,0.9937873,0.3800328,-0.5563814,-0.009854492,43.3631,323.4648,4.289894,
249.151,-0.2401973,-0.02315841,-0.1464331,0.5251889,2.574948,-0.4796358,0.2253323,0.02696988,-0.1115009,352.1378,318.675,0.4289632,-0.1450056,0.08971658,-0.3547698,-0.3136264,0.661952,1.629029,0.0747015,-0.5224065,-0.1809566,41.52745,347.3496,12.04942,-0.3807257,-0.07364887,0.04290569,-1.221284,1.24345,1.047724,0.3758056,-0.5571352,-0.008873262,43.09732,321.6626,3.842422,
262.951,-0.2379031,-0.03038886,-0.1562581,0.5038624,2.602626,-0.5073455,0.2221735,0.02627975,-0.1140217,352.4329,316.4792,0.6045817,-0.1450253,0.0577034,-0.3531134,-0.6635525,0.4916188,1.586626,0.07410415,-0.522378,-0.1852361,41.84101,345.2168,10.61654,-0.3807765,-0.062145,0.03196907,-1.203814,1.179117,1.0936,0.3715768,-0.558097,-0.008037798,42.76724,319.8621,3.415303,
277.04,-0.2341281,-0.03641438,-0.1674479,0.450783,2.642361,-0.5411164,0.219038,0.02585343,-0.1166893,352.7563,314.2492,0.6618465,-0.1400882,0.03825526,-0.3482985,-0.8924471,0.3221164,1.492825,0.07360666,-0.521956,-0.1892665,42.15028,343.2523,9.142516,-0.3764703,-0.06844417,0.01828656,-1.260737,1.152613,1.021093,0.3674442,-0.5595557,-0.007239532,42.70724,317.9816,2.873008,
290.972,-0.231241,-0.03640627,-0.1762168,0.4362633,2.671995,-0.5414358,0.2159009,0.02556875,-0.1193972,352.9971,312.0002,0.7962868,-0.1269406,0.03715741,-0.3435175,-0.9598484,0.2016195,1.436887,0.07410699,-0.520909,-0.1939767,42.26172,341.3994,7.732146,-0.3696919,-0.0882398,0.003660046,-1.328544,1.13287,0.8302439,0.3631495,-0.5614065,-0.006495841,42.95616,316.1633,2.245591,
304.814,-0.2279528,-0.03275988,-0.1852835,0.4609624,2.704027,-0.5050027,0.2127941,0.02523401,-0.1221836,353.1488,309.7305,1.008597,-0.1113487,0.06382934,-0.3301712,-0.7602229,0.2431552,1.505718,0.07494618,-0.5190893,-0.1986508,41.72181,339.7341,6.80971,-0.3593859,-0.1152997,-0.00970275,-1.35745,1.122363,0.5712213,0.3591659,-0.5635326,-0.005963106,43.47308,314.4915,1.601256,
