time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
165.571,-0.005548746,-0.001847302,0.01243119,-0.01399837,0.04441302,-0.02798035,-0.1042557,0.04344174,0.1476645,352.8921,0.5650332,359.9583,0.01623855,-0.01217039,-0.0001580948,0.03256312,0.0111676,0.03744885,-0.3122429,-0.6934299,0.1894408,62.23351,307.296,283.341,0.003537343,0.0009481941,-0.009812709,-0.1938756,0.03638778,0.008937126,-3.068485,1.47725,0.6067075,75.59505,40.9166,359.6511,
179.391,-0.005533857,-0.002289265,0.01213572,-0.01391508,0.0337765,-0.02218566,-0.104322,0.04340133,0.1478281,352.9068,0.5581024,359.9674,0.02070334,-0.009766574,0.003383312,0.03620073,0.01592817,0.009016754,-0.3119443,-0.6936082,0.1895106,62.24099,307.3473,283.4076,0.000170955,-0.0001314895,-0.0016054,-0.03315764,-0.01526663,-0.03135177,-3.068483,1.477242,0.6066981,75.5427,40.11655,358.9081,
193.263,-0.005345262,-0.00213859,0.01145753,-0.01921148,0.02695287,-0.02713538,-0.1043799,0.04337946,0.1479714,352.9363,0.5361809,0.009931863,0.02555687,-0.008990648,0.005257334,0.03466596,0.0427523,-0.0002765469,-0.3114912,-0.693652,0.189618,62.28851,307.4088,283.4946,-0.001887471,-0.0006095281,0.004319904,0.08400312,-0.03415116,-0.03260085,-3.06847,1.47721,0.6066902,75.50965,39.48715,358.2987,
207.368,-0.005072858,-0.001993921,0.01110548,-0.02129556,0.02251068,-0.03594596,-0.1044276,0.04335353,0.1481109,352.9598,0.5064457,0.04469713,0.02999807,-0.007147094,0.008021271,0.04681937,0.05869274,-0.02629672,-0.3109865,-0.6936883,0.1897571,62.3483,307.5766,283.6744,-0.001798658,4.33299E-05,0.007838607,0.1495329,-0.01325377,-0.03119942,-3.068454,1.477176,0.6066906,75.41011,38.68139,357.5786,
221.262,-0.005053068,-0.0008974577,0.01062131,-0.02338048,0.01885316,-0.0372836,-0.10448,0.04336855,0.1482396,352.9833,0.4862464,0.07027953,0.0313132,-0.006938219,0.01022532,0.03990923,0.06671619,-0.03527426,-0.3106044,-0.6938222,0.1899914,62.40874,307.6989,283.7942,-0.00123167,0.0008888194,0.01033429,0.1969215,0.02487213,-0.0007379819,-3.068436,1.477144,0.6067055,75.28284,37.8989,356.9757,
235.099,-0.005008758,-0.0006481116,0.01042938,-0.01693688,0.01294601,-0.03918717,-0.104543,0.04336438,0.1483736,352.9755,0.4842975,0.1024345,0.02932731,-0.006406279,0.01375066,0.03101721,0.04099669,-0.04431801,-0.3102811,-0.6938742,0.190204,62.41194,307.7931,283.8666,-0.0003207158,0.001604686,0.0106222,0.2010159,0.05667843,0.02034921,-3.068418,1.477117,0.6067357,75.17341,37.31931,356.5728,
249.128,-0.004976961,-0.001049069,0.009868387,-0.01368766,0.008836871,-0.03822744,-0.1046147,0.04333836,0.1484861,352.9837,0.4708364,0.132616,0.02607949,-0.006744137,0.01690853,0.02780744,0.02124914,-0.03919021,-0.3100107,-0.6939453,0.1904372,62.40572,307.8553,283.9209,-0.0002513421,0.001548514,0.009825384,0.1869238,0.05952165,0.03358737,-3.068403,1.477096,0.6067684,75.11197,36.85229,356.2382,
263.015,-0.004718044,-0.00160482,0.008824743,-0.01687804,0.008271714,-0.04028978,-0.1046784,0.04329872,0.1485696,353.003,0.4615694,0.1684391,0.02319079,-0.00704263,0.02017371,0.03097268,0.0007288206,-0.03399758,-0.3097253,-0.6940548,0.1907078,62.38456,307.9218,283.985,-2.501649E-05,0.001204094,0.006921356,0.13083,0.04371057,0.01855961,-3.068389,1.477077,0.6067942,75.1055,36.61148,356.015,
276.87,-0.004479266,-0.001984765,0.0082673,-0.01368045,0.008583882,-0.03926177,-0.1047213,0.04326701,0.1486666,353.0089,0.4433641,0.19751,0.02026257,-0.007210581,0.0226111,0.04077082,-0.01165582,-0.01656619,-0.3094609,-0.6941841,0.1910186,62.35767,307.9709,284.0574,-0.0004118428,0.0004070909,0.003860419,0.07218896,0.004642871,-0.01580036,-3.068377,1.477056,0.6068063,75.10602,36.32888,355.723,
290.895,-0.004112129,-0.001559411,0.007342863,-0.01267297,0.01223457,-0.03354027,-0.1047547,0.04326323,0.1487399,353.0188,0.424399,0.2087186,0.01848111,-0.007682241,0.02350547,0.05140253,-0.004771431,0.008074214,-0.3092121,-0.6943287,0.1913265,62.34738,307.9893,284.1269,0.0007017162,0.0003304944,-0.0008035912,-0.02048246,-0.003287608,-0.04073619,-3.068368,1.477035,0.6068008,75.1056,36.1394,355.5101,
304.83,-0.004012137,-0.0007287664,0.006738614,-0.007384012,0.01282578,-0.01834661,-0.1048007,0.04327995,0.1488185,353.0185,0.4181108,0.1890111,0.01769159,-0.009831859,0.02250822,0.05376738,0.03715816,0.0524549,-0.3089258,-0.6945509,0.1917658,62.39829,307.9303,284.1871,0.002002501,0.0004702509,-0.00498769,-0.103303,0.003368996,-0.04678244,-3.068366,1.477024,0.6067839,75.13277,36.26251,355.5371,
318.762,-0.003817765,0.0006489053,0.006039194,-0.005255292,0.01101908,-0.00808373,-0.1048439,0.0433276,0.1488885,353.0179,0.4120323,0.1914157,0.01773721,-0.008215052,0.02514667,0.06858453,0.02218598,0.03670924,-0.3086545,-0.6946569,0.1921281,62.38178,307.9908,284.2997,0.001965388,3.858662E-05,-0.007391856,-0.14858,-0.01145346,-0.05040542,-3.068367,1.477016,0.6067606,75.20152,36.47334,355.616,
